@odata.context,value
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_QA05', 'IndicatorName': 'Types of AST standards followed by countries', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_SURVL01', 'IndicatorName': 'Number of national surveillance sites in each country providing data to GLASS: hospital category', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AIR_61', 'IndicatorName': 'Household and ambient air pollution attributable DALYs (per 100 000 capita)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AIR_8', 'IndicatorName': 'Ambient air pollution attributable DALYs  in children under 5 years', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AIR_90', 'IndicatorName': 'Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMR_GI_002', 'IndicatorName': 'Status of National coordination center establishment', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMR_GI_003', 'IndicatorName': 'Status of National plans to implement and strengthen antimicrobial surveillance', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'bcgv', 'IndicatorName': 'BCG immunization coverage among one-year-olds (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'BP_03', 'IndicatorName': 'Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'BP_05', 'IndicatorName': 'Mean systolic blood pressure (crude estimate)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'BP_06', 'IndicatorName': 'Mean systolic blood pressure (age-standardized estimate)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'Camp_eval_impact', 'IndicatorName': 'Outcome evaluation was employed to assess effectiveness', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'Camp_nat', 'IndicatorName': 'At least one national mass media campaign ran during the survey period', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CATARACTSURGICAL', 'IndicatorName': 'Cataract surgical coverage of adults aged 50 and over (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CC_7', 'IndicatorName': ""Climate change attributable DALYs ('000) in children under 5 years"", 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'cci', 'IndicatorName': 'Composite coverage index (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CCO_3', 'IndicatorName': 'Gender inequality index rank', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CHOLERA_0000000002', 'IndicatorName': 'Number of reported deaths from cholera', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CC_2', 'IndicatorName': ""Climate change attributable DALYs ('000)"", 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CC_8', 'IndicatorName': ""Climate change  attributable DALYs per 100'000 children under 5 years"", 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CCO_1', 'IndicatorName': 'Poverty headcount ratio at $1.25 a day (PPP) (% of population)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CM_03', 'IndicatorName': 'Number of neonatal deaths', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'cpmt', 'IndicatorName': 'Contraceptive prevalence - modern and traditional methods (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'csection', 'IndicatorName': 'Births by caesarean section (in the two or three years preceding the survey) (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES00', 'IndicatorName': 'Total density per 100 000 population: Hospitals', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES05', 'IndicatorName': 'Total density per 100 000 population: Specialized hospitals', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'csection5', 'IndicatorName': 'Births by caesarean section (in the five years preceding the survey) (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES03', 'IndicatorName': 'Total density per 100 000 population: District/rural hospitals', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES04', 'IndicatorName': 'Total density per 100 000 population: Provincial hospitals', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES08', 'IndicatorName': 'Total density per million population: Magnetic Resonance Imaging', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES09', 'IndicatorName': 'Total density per million population: Computed tomography units', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES11', 'IndicatorName': 'Total density per million population: Gamma camera or Nuclear medicine', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES12', 'IndicatorName': 'Total density per million population: Linear Accelerator', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES15', 'IndicatorName': 'Health technology (medical device) national policy', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES23', 'IndicatorName': 'Total density per million females aged from 50 to 69 years old: Mammography units', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E1_compliance', 'IndicatorName': 'Compliance of ban on advertising on national TV and radio', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES16', 'IndicatorName': 'Unit in the Ministry of Health responsible for the management of medical devices', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES17', 'IndicatorName': 'Procurement of medical devices carried out at the national level', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'dptv', 'IndicatorName': 'DTP3 immunization coverage among one-year-olds (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E14a_prod_tv_films', 'IndicatorName': 'Ban on appearance of tobacco products in TV and/or films', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E15c_sponsor_publicity', 'IndicatorName': 'Banning the publicity of financial or other sponsorship or support by the tobacco industry of events, activities, individuals', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E17_csr_promo_others', 'IndicatorName': 'Ban on entities other than tobacco companies/tobacco industry publicizing the Corporate Social Responsibility activities of the tobacco companies', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E15d_csr_ban', 'IndicatorName': 'Ban on Corporate Social Responsibility activities (CSR)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E18_csr_anti_tobacco_media', 'IndicatorName': 'Ban on tobacco companies funding or making contributions (including in-kind contributions) to smoking prevention media campaigns, including those directed at youth', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MALARIA002', 'IndicatorName': 'Estimated number of malaria cases', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MALARIA005', 'IndicatorName': 'Malaria incidence per 100 000 population', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000003', 'IndicatorName': 'Adolescent birth rate (per 1000 women)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q3x4_3', 'IndicatorName': 'Existence of legislation to end discrimination against carers of people with dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q4x2_1', 'IndicatorName': 'Existence of standards/ guidelines/ protocols for prevention and risk reduction of dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q4x2_5', 'IndicatorName': 'Existence of standards/ guidelines/ protocols for treatment and support of carers and families of people with dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MALARIA004', 'IndicatorName': 'Number of under-five deaths from malaria', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000005_AGE1519', 'IndicatorName': 'Contraceptive prevalence, among girls aged 15-19 (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000015', 'IndicatorName': 'Prevalence of condom use by adults during higher-risk sex (15-49) (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000021', 'IndicatorName': 'Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000001', 'IndicatorName': 'Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000005', 'IndicatorName': 'Contraceptive prevalence (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000018', 'IndicatorName': 'Deaths due to tuberculosis among HIV-positive people (per 100 000 population)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000019', 'IndicatorName': 'Prevalence of HIV among adults aged >=15 years (per 100 000 population)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000020', 'IndicatorName': 'Incidence of tuberculosis (per 100 000 population per year)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'BP_04', 'IndicatorName': 'Raised blood pressure (SBP>=140 OR DBP>=90) (age-standardized estimate)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'Camp_aud_research', 'IndicatorName': 'Formative research was conducted', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'Camp_gov_prog', 'IndicatorName': 'Campaign was part of a comprehensive tobacco control programme', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'Camp_mat_tested', 'IndicatorName': 'Campaign was pre-tested', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000024', 'IndicatorName': 'Tuberculosis treatment success under DOTS (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q3x3a_1', 'IndicatorName': 'Existence of legislation for supported decision making for people with dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q3x3a_3', 'IndicatorName': 'Existence of legislation to promote community-based services for people with dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q4x1x1_SQ002', 'IndicatorName': 'Implementation level of dementia standards/ guidelines/ protocols (Sub-national)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CATARACTSURGICALEFFECTIVE', 'IndicatorName': 'Effective cataract surgical coverage of adults aged 50 and over (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CC_1', 'IndicatorName': 'Climate change attributable deaths', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CC_4', 'IndicatorName': ""Climate change attributable DALYs per 100'000 capita"", 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'cci2030', 'IndicatorName': 'Composite coverage index (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CCO_WHS9_85', 'IndicatorName': 'Literacy rate among adults aged >= 15 years (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q4x2_2', 'IndicatorName': 'Existence of standards/ guidelines/ protocols for diagnosis of dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q4x2_4', 'IndicatorName': 'Existence of standards/ guidelines/ protocols for other post-diagnostic supports of people with dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q4x3x4_1', 'IndicatorName': 'Existence of standards/ guidelines/ protocols for advance care directives, power of attorney or guardianship for people with dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CHOLERA_0000000003', 'IndicatorName': 'Cholera case fatality rate', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'cpmo', 'IndicatorName': 'Contraceptive prevalence - modern methods (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES01', 'IndicatorName': 'Total density per 100 000 population: Health posts', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES02', 'IndicatorName': 'Total density per 100 000 population: Health centres', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES06', 'IndicatorName': 'Availability of national standards or recommended lists of medical devices', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES10', 'IndicatorName': 'Total density per million population: Positron Emission tomography', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES13', 'IndicatorName': 'Type of nomenclature system', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES14', 'IndicatorName': 'Use of nomenclature system', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES18', 'IndicatorName': 'Availability of national list of approved medical devices for procurement or reimbursement', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'DEVICES19', 'IndicatorName': 'National guidelines, policies or recommendations on the procurement of medical devices', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E1_nat_tv_radio', 'IndicatorName': 'Ban on advertising: National TV and radio', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E10_promo_discounts', 'IndicatorName': 'Ban on promotional discounts', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E11_brand_stretching', 'IndicatorName': 'Ban on non-tobacco goods AND services identified with tobacco brand names', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E11_compliance', 'IndicatorName': 'Compliance of ban on non-tobacco goods AND services identified with tobacco brand names', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E12_brand_sharing', 'IndicatorName': 'Ban on brand name of non-tobacco products used for tobacco product', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E12_compliance', 'IndicatorName': 'Compliance of ban on brand name of non-tobacco products used for tobacco product', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E13_compliance', 'IndicatorName': 'Compliance of ban on appearance of tobacco brands in TV and/or films (product placement)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E14_compliance', 'IndicatorName': 'Compliance of ban on appearance of tobacco products in TV and/or films', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E14b_movies_anti_tob_ads', 'IndicatorName': 'Requirement to present prescribed anti-tobacco ads before, during or after the broadcasting or showing of any visual entertainment media product that depicts tobacco products, use or images', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E15_compliance', 'IndicatorName': 'Compliance of ban on sponsored events', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E15_sponsored_events', 'IndicatorName': 'Sponsored events', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E15a_sponsorship', 'IndicatorName': 'Complete ban on sponsorship', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'E15b_sponsor_contribution', 'IndicatorName': 'Ban on any form of contribution (financial or other support) to any event, activity or individual', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MALARIA001', 'IndicatorName': 'Malaria - number of reported deaths', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000010', 'IndicatorName': 'Median availability of selected generic medicines (%) - Public', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000013', 'IndicatorName': 'Children aged <5 years sleeping under insecticide-treated nets (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000017', 'IndicatorName': 'Deaths due to tuberculosis among HIV-negative people (per 100 000 population)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000022', 'IndicatorName': 'Tuberculosis detection rate under DOTS (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'MDG_0000000025', 'IndicatorName': 'Births attended by skilled health personnel (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q3x3a_2', 'IndicatorName': 'Existence of legislation to file appeals protecting the rights of people with dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q3x3a_4', 'IndicatorName': 'Existence of legislation to promote monitoring of human rights conditions of people with dementia in facilities where they reside', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q3x3b_1', 'IndicatorName': 'Existence of legislation to end coercieve practices for people with dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q3x4_2', 'IndicatorName': 'Existence of legislation to end discrimination against people with dementia', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q4x1', 'IndicatorName': 'Existence of dementia standards/ guidelines/ protocols', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q4x1x1_SQ001', 'IndicatorName': 'Implementation level of dementia standards/ guidelines/ protocols (National)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_COORD03', 'IndicatorName': 'Nomination of National Focal Point (NFP)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_QA03', 'IndicatorName': 'EQA provided to local laboratories participating in GLASS', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AMRGLASS_SURVL02', 'IndicatorName': 'Number of National surveillance sites in each country providing data to GLASS: outpatient facility category', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'asfr1', 'IndicatorName': 'Adolescent fertility rate (per 1000 women aged 15-19 years)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'ASSISTIVETECH_METNEED', 'IndicatorName': 'Prevalence of met need of assistive products (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'Camp_airtime', 'IndicatorName': 'Process evaluation was employed to assess implementation', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'Camp_media_planning', 'IndicatorName': 'Campaign utilized media planning', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'Camp_news', 'IndicatorName': 'Earned media/public relations were used to promote the campaign', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'Camp_tv_radio', 'IndicatorName': 'Campaign aired on television and/or radio', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'GDO_q5x1x1_2', 'IndicatorName': 'Identification of different sectors in dementia care coordination (Social)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AIR_10', 'IndicatorName': ""Ambient air pollution  attributable DALYs per 100'000 children under 5 years"", 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AIR_12', 'IndicatorName': 'Household air pollution attributable deaths in children under 5 years', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'AIR_16', 'IndicatorName': 'Household air pollution attributable DALYs in children under 5 years', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'carep', 'IndicatorName': 'Children aged < 5 years with pneumonia symptoms taken to a health facility (%)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CaseCS', 'IndicatorName': 'Congenital syphilis number of cases, reported', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CC_3', 'IndicatorName': ""Climate change attributable deaths per 100'000 capita"", 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CC_5', 'IndicatorName': ""Climate change attributable deaths ('000) in children under 5 years"", 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CC_6', 'IndicatorName': ""Climate change  attributable deaths per 100'000 children under 5 years"", 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CCO_2', 'IndicatorName': 'Human development index rank', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CHILDMORT5TO14', 'IndicatorName': 'Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years)', 'Language': 'EN'}"
https://ghoapi.azureedge.net/api/$metadata#Indicator,"{'IndicatorCode': 'CHOLERA_0000000001', 'IndicatorName': 'Number of reported cases of cholera', 'Language': 'EN'}"
